country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Qatar,QAT,2021-05-07,1762545.0,1094976.0,667569.0,30074.0,29477.0,60.14,37.36,22.78,10059.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
Northern Ireland,OWID_NIR,2022-02-10,3692713.0,1416915.0,1316848.0,3330.0,2217.0,194.76,74.73,69.45,1169.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Morocco,MAR,2021-09-14,37238088.0,20362745.0,16875343.0,,230801.0,99.71,54.53,45.19,6180.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Kuwait,KWT,2022-03-16,,,,,14593.0,,,,3371.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
San Marino,SMR,2021-06-03,42936.0,21581.0,21355.0,,66.0,126.25,63.45,62.79,1941.0,"Pfizer/BioNTech, Sputnik V",World Health Organization,https://covid19.who.int/
Central African Republic,CAF,2021-06-16,,,,,2858.0,,,,581.0,"Covaxin, Oxford/AstraZeneca",Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Taiwan,TWN,2021-11-13,,,,,200493.0,,,,8405.0,"Medigen, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
Democratic Republic of Congo,COD,2021-07-21,,,,,681.0,,,,7.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Iceland,ISL,2022-01-17,,,,,3473.0,,,,9417.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
Canada,CAN,2021-02-23,1635545.0,1158560.0,476972.0,49649.0,43500.0,4.3,3.04,1.25,1143.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Netherlands,NLD,2022-01-05,,,,,255207.0,,,,14861.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech","European CDC, via Marino van Zelst",https://github.com/mzelst/covid-19
Equatorial Guinea,GNQ,2021-06-24,,,,,408.0,,,,281.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
Germany,DEU,2021-09-21,106363640.0,56181749.0,52844106.0,234372.0,198166.0,126.77,66.96,62.98,2362.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Georgia,GEO,2021-08-12,741353.0,516300.0,225053.0,25434.0,22529.0,18.63,12.97,5.65,5661.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",National Center for Disease Control and Public Health,https://vaccines.ncdc.ge/vaccinationprocess/
Norway,NOR,2021-04-12,1210554.0,896084.0,314458.0,4078.0,26120.0,22.15,16.39,5.75,4779.0,"Moderna, Pfizer/BioNTech",Norwegian Institute of Public Health,https://github.com/folkehelseinstituttet/surveillance_data
French Polynesia,PYF,2021-04-05,,,,,640.0,,,,2265.0,"Johnson&Johnson, Pfizer/BioNTech",SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
South Korea,KOR,2021-11-16,82444160.0,42187082.0,40392181.0,223931.0,240847.0,160.69,82.23,78.73,4694.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,https://ncv.kdca.go.kr/
Venezuela,VEN,2021-02-27,,,,,869.0,,,,30.0,"Abdala, Sinopharm/Beijing, Sinovac, Soberana02, Sputnik Light, Sputnik V",Pan American Health Organization,https://covid19.who.int/
Costa Rica,CRI,2020-12-24,55.0,55.0,,,,0.0,0.0,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Ireland,IRL,2021-10-08,7394756.0,3820650.0,3748389.0,9672.0,11732.0,148.4,76.68,75.22,2354.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
China,CHN,2021-02-04,,,,,1382583.0,,,,957.0,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001",National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202203/d81d339daf694f97952f10d9d8604143.shtml
Vanuatu,VUT,2021-09-22,,,,,973.0,,,,3094.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Sudan,SDN,2021-10-17,,,,,5151.0,,,,115.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
Netherlands,NLD,2021-05-06,,,,,114152.0,,,,6647.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech","European CDC, via Marino van Zelst",https://github.com/mzelst/covid-19
Bahrain,BHR,2022-01-12,3290761.0,1208688.0,1185685.0,5358.0,5155.0,188.23,69.14,67.82,2949.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik Light, Sputnik V",Ministry of Health,https://covid19.who.int/
Poland,POL,2022-01-24,50795046.0,22209910.0,21608106.0,123304.0,154161.0,134.39,58.76,57.17,4079.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Turks and Caicos Islands,TCA,2021-10-13,,,,,77.0,,,,1963.0,Pfizer/BioNTech,World Health Organization,https://covid19.who.int/
Russia,RUS,2021-01-03,,,,,60883.0,,,,417.0,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
Tunisia,TUN,2021-03-12,0.0,0.0,,,,0.0,0.0,,,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Ministry of Health,https://web.facebook.com/santetunisie.rns.tn/posts/339797681524034?__cft__[0]=AZUiZe_DZCgQaUfW53dSTtXxKD5Vmq3M4OkNzKUMnMjzyKYqwPgH6EV-do3PCuT4TqokRZFYjLLshZ87APo1I0dbZHgTHn-95N8CB7Crpo5q1AShf3f9AQYWATKZCptNluocUhFJ8tKk3Z4cIg3qRVhQ&__tn__=%2CO%2CP-R
Democratic Republic of Congo,COD,2021-10-02,,,,,285.0,,,,3.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Denmark,DNK,2021-09-07,8597000.0,4398871.0,4243769.0,10277.0,11053.0,147.88,75.67,73.0,1901.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata
Kosovo,OWID_KOS,2021-04-30,,,,,1000.0,,,,561.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://msh.rks-gov.net/sq/statistikat-covid-19/
Bolivia,BOL,2022-01-24,11530381.0,6622091.0,5079663.0,45359.0,45186.0,97.44,55.96,42.93,3819.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via https://www.boligrafica.com/,https://github.com/dquintani/vacunacion/
Ghana,GHA,2021-08-16,,,,,5590.0,,,,176.0,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://africacdc.org/covid-19-vaccination/
Guyana,GUY,2021-05-20,,,,,4848.0,,,,6134.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Trinidad and Tobago,TTO,2021-08-02,590829.0,395743.0,195086.0,3109.0,8486.0,42.1,28.2,13.9,6047.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query
Rwanda,RWA,2021-06-02,,,,,6154.0,,,,464.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://africacdc.org/covid-19-vaccination/
Chile,CHL,2021-07-19,25102790.0,13584650.0,12014574.0,123515.0,95617.0,130.66,70.71,62.54,4977.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac","Ministry of Health, via Ministry of Science GitHub repository",https://github.com/MinCiencia/Datos-COVID19
Senegal,SEN,2021-07-16,,,,,8351.0,,,,486.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
New Caledonia,NCL,2022-03-07,367291.0,187823.0,179468.0,,52.0,127.44,65.17,62.27,180.0,Pfizer/BioNTech,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Dominican Republic,DOM,2022-03-19,15419005.0,7170986.0,5897465.0,11496.0,9624.0,140.77,65.47,53.84,879.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
Hong Kong,HKG,2021-11-28,9414674.0,4741519.0,4526847.0,19677.0,18219.0,124.65,62.78,59.94,2412.0,"Pfizer/BioNTech, Sinovac",Food and Health Bureau,https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age
Maldives,MDV,2021-12-09,780425.0,396146.0,365332.0,,855.0,143.56,72.87,67.2,1573.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1503053275741913088
United States,USA,2022-01-06,522863396.0,245494755.0,209471474.0,1432986.0,951734.0,157.48,73.94,63.09,2867.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://data.cdc.gov/Vaccinations/COVID-19-Vaccination-Trends-in-the-United-States-N/rh2h-3yt2
Peru,PER,2022-03-15,64348003.0,28186558.0,25123243.0,122319.0,145761.0,192.89,84.49,75.31,4369.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministerio de Salud via github.com/jmcastagnetto/covid-19-peru-vacunas,https://www.datosabiertos.gob.pe/dataset/vacunacion
Dominica,DMA,2021-05-20,,,,,222.0,,,,3076.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Palestine,PSE,2021-06-04,607122.0,372827.0,,16635.0,13150.0,11.62,7.14,,2518.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",World Health Organization,https://covid19.who.int/
Guernsey,GGY,2021-08-21,,,,,187.0,,,,2950.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Guernsey,https://covid19.gov.gg/guidance/vaccine/stats
Bulgaria,BGR,2021-12-24,3653426.0,,1897154.0,1200.0,10816.0,52.97,,27.51,1568.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Trinidad and Tobago,TTO,2021-04-30,42455.0,42455.0,,301.0,2108.0,3.03,3.03,,1502.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query
Bahrain,BHR,2021-11-20,2851438.0,1185455.0,1152538.0,3389.0,4083.0,163.1,67.81,65.92,2335.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik Light, Sputnik V",Ministry of Health,https://covid19.who.int/
Mauritius,MUS,2021-07-07,,,,,10810.0,,,,8489.0,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://africacdc.org/covid-19-vaccination/
Yemen,YEM,2022-02-20,,,,,947.0,,,,31.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",World Health Organization,https://covid19.who.int/
French Polynesia,PYF,2022-01-13,,,,,722.0,,,,2555.0,"Johnson&Johnson, Pfizer/BioNTech",SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Dominica,DMA,2021-08-27,42529.0,22343.0,20186.0,,156.0,58.93,30.96,27.97,2162.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Serbia,SRB,2021-10-06,6632125.0,3056975.0,2925578.0,26290.0,22132.0,96.52,44.49,42.58,3221.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
Grenada,GRD,2022-01-03,,,,,175.0,,,,1548.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Maldives,MDV,2021-08-09,620415.0,332816.0,287599.0,2830.0,2915.0,114.13,61.22,52.9,5362.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1503053275741913088
Egypt,EGY,2021-03-22,,,,,2915.0,,,,28.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Malta,MLT,2021-10-23,866963.0,427948.0,426374.0,1544.0,2104.0,167.98,82.92,82.61,4077.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases
United Kingdom,GBR,2022-01-15,136438400.0,52100163.0,47926017.0,194251.0,182280.0,200.04,76.39,70.27,2672.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Yemen,YEM,2021-12-13,,,,,1926.0,,,,63.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",World Health Organization,https://covid19.who.int/
Mozambique,MOZ,2021-04-19,,,,,5974.0,,,,186.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Bahrain,BHR,2021-05-04,1301773.0,747409.0,554364.0,18470.0,13573.0,74.46,42.75,31.71,7764.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik Light, Sputnik V",Ministry of Health,https://covid19.who.int/
Indonesia,IDN,2021-09-11,113783060.0,72248720.0,41534340.0,1739808.0,1342677.0,41.17,26.14,15.03,4858.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Indonesia,https://data.covid19.go.id/public/index.html
Greece,GRC,2022-02-23,20052184.0,7849143.0,7510459.0,21898.0,21640.0,193.35,75.69,72.42,2087.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Sweden,SWE,2021-12-30,,,,,26342.0,,,,2593.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/
Suriname,SUR,2021-03-05,,,,,368.0,,,,622.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Government of Suriname,https://laatjevaccineren.sr/
Panama,PAN,2021-04-11,457124.0,273120.0,184004.0,,14242.0,10.43,6.23,4.2,3250.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Belarus,BLR,2021-07-28,,,,,27752.0,,,,2939.0,"Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Gambia,GMB,2022-01-05,,,,,2299.0,,,,924.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Iran,IRN,2021-08-22,,,,,422602.0,,,,4970.0,"COVIran Barekat, Covaxin, FAKHRAVAC, Oxford/AstraZeneca, Razi Cov Pars, Sinopharm/Beijing, Soberana02, SpikoGen, Sputnik V",World Health Organization,https://irangov.ir/detail/383414
Oman,OMN,2021-03-04,,,,,1918.0,,,,367.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Belarus,BLR,2021-02-27,,,,,455.0,,,,48.0,"Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Mongolia,MNG,2021-05-11,2309864.0,1678198.0,631666.0,38755.0,92624.0,69.38,50.41,18.97,27821.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
Taiwan,TWN,2022-03-04,47794860.0,19366499.0,18003704.0,184266.0,140118.0,200.36,81.18,75.47,5874.0,"Medigen, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
France,FRA,2021-03-19,8698218.0,6265682.0,2432482.0,267336.0,193479.0,12.9,9.29,3.61,2870.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
Sweden,SWE,2021-07-29,,,,,59868.0,,,,5892.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/
Malawi,MWI,2021-08-22,827615.0,635098.0,360616.0,,14124.0,4.21,3.23,1.84,719.0,"Johnson&Johnson, Oxford/AstraZeneca",World Health Organization,https://covid19.who.int/
Botswana,BWA,2021-05-28,142864.0,142864.0,,,3258.0,5.96,5.96,,1359.0,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Africa Centres for Disease Control and Prevention,https://covid19.who.int/
United States,USA,2021-08-17,366249383.0,200450033.0,174409915.0,923234.0,762410.0,110.31,60.37,52.53,2296.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://data.cdc.gov/Vaccinations/COVID-19-Vaccination-Trends-in-the-United-States-N/rh2h-3yt2
Estonia,EST,2021-11-28,1648825.0,826412.0,786503.0,950.0,4978.0,124.42,62.36,59.35,3756.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
Canada,CAN,2021-08-12,51359334.0,27403699.0,23945201.0,152267.0,144853.0,134.92,71.99,62.9,3805.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Gibraltar,GIB,2022-03-02,113176.0,41978.0,40922.0,38.0,51.0,335.92,124.6,121.46,1514.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Gibraltar,https://twitter.com/GibraltarGov/status/1507008369005015050
Timor,TLS,2021-07-04,,,,,3217.0,,,,2394.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",World Health Organization,https://covid19.who.int/
Greenland,GRL,2021-07-14,50826.0,32168.0,18658.0,359.0,696.0,89.38,56.57,32.81,12239.0,Moderna,Government of Greenland,https://corona.nun.gl
Albania,ALB,2021-08-22,1376763.0,787510.0,589253.0,3414.0,7938.0,47.92,27.41,20.51,2763.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-2754244-vaksinime/
Gabon,GAB,2021-06-26,,,,,1273.0,,,,559.0,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Belarus,BLR,2021-05-17,,,,,16308.0,,,,1727.0,"Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Belarus,BLR,2022-01-03,,,,,63127.0,,,,6685.0,"Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Equatorial Guinea,GNQ,2022-01-26,,,,,202.0,,,,139.0,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
El Salvador,SLV,2021-02-25,16000.0,16000.0,,,2114.0,0.25,0.25,,324.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Health,https://covid19.gob.sv/
Slovenia,SVN,2021-03-03,189738.0,135086.0,54686.0,7484.0,4364.0,9.13,6.5,2.63,2099.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via covid-19.sledilnik.org,https://covid-19.sledilnik.org/sl/stats
French Polynesia,PYF,2021-09-14,271181.0,146890.0,124291.0,,1988.0,95.98,51.99,43.99,7036.0,"Johnson&Johnson, Pfizer/BioNTech",SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Saint Lucia,LCA,2021-10-16,,,,,479.0,,,,2598.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Bermuda,BMU,2021-01-22,,,,,195.0,,,,3141.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Guinea,GIN,2021-10-20,,,,,16204.0,,,,1201.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",National Health Security Agency,https://covid19.who.int/
Singapore,SGP,2021-05-28,3850549.0,2179016.0,1671533.0,48198.0,46214.0,70.61,39.96,30.65,8474.0,"Moderna, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Singapore,https://data.gov.sg/dataset/covid-19-vaccination
Saint Helena,SHN,2021-04-07,,,,,61.0,,,,10008.0,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/preliminary-data-from-the-covid-19-vaccination-programme/
Bulgaria,BGR,2021-01-30,41020.0,27957.0,13063.0,215.0,2129.0,0.59,0.41,0.19,309.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Seychelles,SYC,2021-09-08,,,,,129.0,,,,1304.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Libya,LBY,2021-09-13,,,,,19640.0,,,,2822.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://ncdc.org.ly/Ar
Denmark,DNK,2021-08-20,8257541.0,4335823.0,3967700.0,33761.0,41025.0,142.05,74.58,68.25,7057.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata
Egypt,EGY,2021-11-09,,,,,518800.0,,,,4976.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Tokelau,TKL,2021-07-16,,,,,23.0,,,,16813.0,Pfizer/BioNTech,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Tonga,TON,2021-08-12,,,,,336.0,,,,3147.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Poland,POL,2021-11-13,,,,,59982.0,,,,1587.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Mexico,MEX,2021-11-22,131075161.0,75896683.0,64317192.0,99511.0,173672.0,100.62,58.26,49.38,1333.0,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/712810/2022.03.29_17h00_ComunicadoTecnicoDiario_Covid19__1_.pdf
Hungary,HUN,2021-12-16,,6208430.0,5923284.0,,32220.0,,64.44,61.48,3344.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu//cikkek/6-millio-402-ezer-beoltott-2906-az-uj-fertozott-es-elhunyt-40-beteg
Qatar,QAT,2021-11-19,,,,,4217.0,,,,1439.0,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
Russia,RUS,2021-08-27,79130258.0,43270004.0,35860254.0,698889.0,493196.0,54.23,29.65,24.58,3380.0,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
United Kingdom,GBR,2021-01-28,8369438.0,7891184.0,478254.0,416188.0,359934.0,12.27,11.57,0.7,5277.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Macao,MAC,2021-11-09,,,,,3755.0,,,,5703.0,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.ssm.gov.mo/docs/19164/19164_dd2dfe6b739b4964b394d629e656af72_000_.pdf
